experiment_id,timestamp,seed,task,input_size,batch_size,epochs,learning_rate,dropout_rate,l1,l2,train_loss,val_loss,training_time_min,roc_auc,num_thresholds_meeting_constraints,accuracy,acc_normal,precision_normal,recall_normal,f1_normal,acc_abnormal,precision_abnormal,recall_abnormal,f1_abnormal
1,2026-02-04T16:44:27.588687,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.17450357973575592,0.1869991421699524,4.610989431540172,0.44545810303615957,0,0.78755532413434,0.8964430436740207,0.8637744034707159,0.8964430436740207,0.8798055678303137,0.07556427870461237,0.10039113428943937,0.07556427870461237,0.08622620380739082
2,2026-02-04T17:00:57.140218,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.17448729276657104,0.18640486896038055,4.596760408083598,0.44506927288909787,0,0.7885967196042697,0.8977937865826204,0.863826714801444,0.8977937865826204,0.8804827789225788,0.0745829244357213,0.10039630118890357,0.0745829244357213,0.08558558558558559
3,2026-02-04T21:11:29.686915,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.1744687706232071,0.18787436187267303,4.557118312517802,0.4457211525220127,0,0.7931528247852122,0.9033468407624193,0.8643021252153934,0.9033468407624193,0.8833932633741836,0.07262021589793916,0.10306406685236769,0.07262021589793916,0.08520437535981577
4,2026-02-04T21:22:47.001353,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.2500216066837311,0.13354137539863586,4.478940037886302,0.45940200869064834,0,0.8305128872689403,0.9543749061984091,0.8643468805219519,0.9543749061984091,0.9071326676176891,0.020608439646712464,0.06461538461538462,0.020608439646712464,0.03125
5,2026-02-04T21:35:22.267387,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.25000742077827454,0.1341327428817749,4.451887973149618,0.459270999442235,0,0.8303827128351992,0.9540747411076091,0.8644275224367691,0.9540747411076091,0.90704144966826,0.021589793915603533,0.06707317073170732,0.021589793915603533,0.032665181885671864
6,2026-02-04T21:46:58.484199,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.25002360343933105,0.13362324237823486,4.604841713110606,0.45938418730890807,0,0.8305128872689403,0.9543749061984091,0.8643468805219519,0.9543749061984091,0.9071326676176891,0.020608439646712464,0.06461538461538462,0.020608439646712464,0.03125
7,2026-02-04T21:56:10.586276,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.2500073313713074,0.13399538397789001,4.4773664752642315,0.45932740927038823,0,0.8303827128351992,0.9540747411076091,0.8644275224367691,0.9540747411076091,0.90704144966826,0.021589793915603533,0.06707317073170732,0.021589793915603533,0.032665181885671864
8,2026-02-04T22:05:38.289982,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.25000762939453125,0.13375023007392883,4.50353977282842,0.45922298481043866,0,0.8303827128351992,0.9540747411076091,0.8644275224367691,0.9540747411076091,0.90704144966826,0.021589793915603533,0.06707317073170732,0.021589793915603533,0.032665181885671864
9,2026-02-04T22:25:10.824502,0,binary roc-auc,299,32,16,1.9999999949504854e-06,0.5,0.0,0.0,0.180744469165802,0.20529145002365112,11.55596262216568,0.6395757362329458,0,0.2835199166883624,0.18460153084196307,0.9454265949269792,0.18460153084196307,0.3088900050226017,0.930323846908734,0.14856605547719792,0.930323846908734,0.2562162162162162
10,2026-02-04T22:40:08.726440,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.21509534120559692,145.158203125,4.677298065026601,0.5326712321806434,0,0.32426451444936216,0.2528890889989494,0.8877766069546892,0.2528890889989494,0.3936456021492816,0.7909715407262021,0.13934993084370678,0.7909715407262021,0.23695428487432016
11,2026-02-04T22:54:20.019696,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.21449154615402222,147.16839599609375,4.562982173760732,0.5302125442791377,0,0.3176256183285603,0.24433438391115114,0.8871934604904632,0.24433438391115114,0.3831489762297011,0.7968596663395485,0.1388746365657602,0.7968596663395485,0.23652781823478009
12,2026-02-04T23:01:17.830233,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.21374757587909698,136.58853149414062,4.556045508384704,0.5330103539282229,0,0.3228325956782088,0.2509380159087498,0.8879447689856612,0.2509380159087498,0.39129417271238004,0.7929342492639843,0.13933436799448182,0.7929342492639843,0.2370196538574362
13,2026-02-04T23:12:58.596320,0,binary roc-auc,299,32,7,1.9999999949504854e-06,0.3,0.0,0.0,0.18103796243667603,54.02021026611328,5.322276151180267,0.44073455317009236,0,0.5843530330643062,0.6277952874080744,0.8543709150326797,0.6277952874080744,0.723765031577126,0.30029440628066734,0.10983488872936109,0.30029440628066734,0.16084099868593954
14,2026-02-04T23:25:38.209576,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.1736501008272171,132.29090881347656,4.54700129032135,0.5340179247752113,0,0.3335068992449883,0.26474561008554703,0.8886649874055416,0.26474561008554703,0.40795559666975023,0.7831207065750736,0.14007372301211163,0.7831207065750736,0.23764145324597974
15,2026-02-04T23:37:01.516949,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.14546871185302734,125.83570861816406,4.630984091758728,0.5363640139466304,0,0.34274928404061444,0.2763019660813447,0.8902321083172147,0.2763019660813447,0.42171572557553544,0.7772325809617272,0.14107588172426078,0.7772325809617272,0.23880597014925373
16,2026-02-04T23:51:00.621334,0,binary roc-auc,299,32,13,1.9999999949504854e-06,0.5,0.0,0.0,0.250211238861084,200.4072723388672,9.773206281661988,0.6102712723597586,0,0.5503775058578495,0.530091550352694,0.9162127107652399,0.530091550352694,0.6716105723521582,0.6830225711481845,0.18186569114188658,0.6830225711481845,0.2872472141972761
17,2026-02-04T23:57:03.367762,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.15779785811901093,101.3110122680664,4.613135389486948,0.5906850583326227,0,0.41968237438167144,0.36334984241332735,0.9180887372013652,0.36334984241332735,0.5206451612903226,0.788027477919529,0.1591674925668979,0.788027477919529,0.26484168865435354
18,2026-02-05T00:04:43.017524,0,binary roc-auc,299,32,6,1.9999999494757503e-05,0.5,0.0,0.0,0.15828196704387665,85.81936645507812,4.674228195349375,0.6010584280628143,0,0.4467586565998438,0.3966681674921207,0.9199443090845806,0.3966681674921207,0.5543204697986577,0.774288518155054,0.16406737367436058,0.774288518155054,0.2707618393960192
19,2026-02-05T00:12:52.291341,0,binary roc-auc,299,32,8,1.9999999494757503e-05,0.5,0.0,0.0,0.06274785101413727,217.1437225341797,6.103374103705089,0.5804144192946945,0,0.3543348086435824,0.2740507279003452,0.9368907131862494,0.2740507279003452,0.42405945192754296,0.8792934249263984,0.1562881562881563,0.8792934249263984,0.26540284360189575
20,2026-02-05T00:33:51.450404,0,binary roc-auc,299,32,27,1.9999999949504854e-06,0.5,0.0,0.0,0.06669102609157562,290.6923828125,19.364076884587607,0.5589363404042978,0,0.28221817235095026,0.18280054029716344,0.9463869463869464,0.18280054029716344,0.30641509433962266,0.9322865554465162,0.1485535574667709,0.9322865554465162,0.25627191799298626
21,2026-02-05T00:56:24.958303,0,binary roc-auc,299,32,27,1.9999999949504854e-06,0.5,0.0,0.0,0.06687486916780472,284.24908447265625,19.595807937781014,0.5612906774879276,0,0.2921114293152825,0.19510730901996098,0.9454545454545454,0.19510730901996098,0.32346354814630507,0.9263984298331698,0.1496749643253528,0.9263984298331698,0.2577122577122577
22,2026-02-05T01:16:50.027116,0,binary roc-auc,299,32,27,1.9999999949504854e-06,0.5,0.0,0.0,0.06697224080562592,286.3941345214844,19.308122062683104,0.5609396993665456,0,0.2836500911221036,0.18460153084196307,0.9461538461538461,0.18460153084196307,0.3089287956800201,0.9313052011776252,0.14869946725164526,0.9313052011776252,0.2564518308336711
23,2026-02-05T01:32:24.610791,0,binary roc-auc,299,32,13,1.9999999949504854e-06,0.5,0.0,0.0,0.24938790500164032,209.7086639404297,9.766312130292256,0.6013574885225147,0,0.5266857589169487,0.5014257841812997,0.9140902872777018,0.5014257841812997,0.6476061252180655,0.6918547595682041,0.1750682890489198,0.6918547595682041,0.2794292508917955
24,2026-02-05T01:40:41.098035,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.320537269115448,272.103271484375,4.696908994515737,0.5904603027248893,0,0.34405102837802654,0.2639951973585472,0.9287222808870116,0.2639951973585472,0.4111253944139301,0.8675171736997056,0.15272978576364893,0.8675171736997056,0.25973262817687676
25,2026-02-05T01:54:06.680025,0,binary roc-auc,299,32,13,1.9999999949504854e-06,0.5,0.0,0.0,0.25372084975242615,205.4365234375,9.585696546236674,0.6040303275731976,200,0.5456912262431658,0.5267897343538946,0.9123992721601247,0.5267897343538946,0.6679352997145576,0.6692836113837095,0.17783572359843547,0.6692836113837095,0.28100535640708696
26,2026-03-11T22:36:19.839223,0,binary roc-auc,299,32,9,9.999999974752427e-07,0.5,0.0,0.0,0.31522417068481445,312.1472473144531,6.696245284875234,0.5808557562400242,0,0.4073158031762562,0.344889689329131,0.9243765084473049,0.344889689329131,0.5023499836047656,0.8155053974484789,0.15993071593533487,0.8155053974484789,0.2674175382139984
27,2026-03-11T22:58:32.795729,0,binary roc-auc,299,32,6,1.9999999949504854e-06,0.5,0.0,0.0,0.3058208227157593,292.5011901855469,4.668874363104503,0.6150032327529034,0,0.3793282999218953,0.30864566223682244,0.9374149659863945,0.30864566223682244,0.4643900247135475,0.8598984771573605,0.1546467044002191,0.8598984771573605,0.26214794181367995
